Benchmark , L1-dcache-load-misses , L1-icache-load-misses , LLC-load-misses , LLC-store-misses , branch-instructions , branch-misses , context-switches , cpu_clk_unhalted.ref_tsc , cycles , dTLB-load-misses , dTLB-store-misses , dtlb_load_misses.stlb_hit , dtlb_store_misses.stlb_hit , iTLB-load-misses , instructions , instructions:k , itlb.itlb_flush , l2_rqsts.all_code_rd , l2_rqsts.code_rd_miss , mem_inst_retired.all_loads , mem_inst_retired.all_stores , mem_load_retired.l3_miss , msr/tsc/ , offcore_response.demand_code_rd.l3_hit.any_snoop , offcore_response.demand_code_rd.l3_hit.hit_other_core_no_fwd , offcore_response.demand_code_rd.l3_hit.hitm_other_core , offcore_response.demand_code_rd.l3_hit.no_snoop_needed , offcore_response.demand_code_rd.l3_hit.snoop_hit_with_fwd , offcore_response.demand_code_rd.l3_miss.any_snoop , page-faults , tlb_flush.dtlb_thread , tlb_flush.stlb_any , uops_executed.core_cycles_ge_1 , uops_executed.thread , uops_executed.x87 , uops_retired.retire_slots 
LinqBenchmarks.Where01LinqQueryX , 0.00392502617904 , 0.00759840524141 , 0.000208365753074 , 4.02177477544e-05 , 0.20109561121 , 0.00202595827704 , 2.06763263457e-07 , 0.449180304531 , 0.532208148618 , 8.06319164975e-05 , 3.4940505583e-05 , 0.00681277998149 , 0.000367572865009 , 4.78831192187e-05 , 1.58089011817e+11 , 0.0301222972 , 4.09855810061e-06 , 0.00741238359663 , 0.00178264523739 , 0.295257565162 , 0.147041839795 , 0.000154426431789 , 0.450523964875 , 0.00148648518514 , 1.07433146711e-07 , 8.81300973412e-07 , 0.0014524632064 , 3.94904423036e-05 , 0.000298382515381 , 3.96366573994e-06 , 1.73819291323e-05 , 9.26133943892e-06 , 0.415640040454 , 1.22441583982 , 0.000381626776628 , 1.03961022077 
LinqBenchmarks.Count00LinqMethodX , 0.00265214715286 , 0.00497163614381 , 0.000138004562317 , 2.83276766183e-05 , 0.238313053225 , 0.00159140763449 , 1.3942800431e-07 , 0.380944022951 , 0.48018143374 , 5.35914117396e-05 , 2.60140714414e-05 , 0.00271787030184 , 0.000251136246818 , 3.11664929587e-05 , 2.43193612128e+11 , 0.0201098817408 , 2.67886559314e-06 , 0.00484146555782 , 0.00116674123764 , 0.358828340853 , 0.130110180506 , 0.000106951283681 , 0.381979169955 , 0.000975620609127 , 7.15602677542e-08 , 5.83674870232e-07 , 0.000949718728132 , 2.48018973328e-05 , 0.000193251819358 , 2.70702833943e-06 , 1.16136890903e-05 , 6.06023319076e-06 , 0.392215505804 , 1.23651550196 , 0.000188535157642 , 1.01494801817 
PerfLabTests.LowLevelPerf.InterfaceInterfaceMethodSwitchCallType , 0.00716261797717 , 0.00635933327703 , 0.000543172801972 , 0.000113703517152 , 0.221310338016 , 0.00175430523461 , 1.70892399871e-07 , 0.470731675619 , 0.576964840834 , 0.00016128065033 , 0.000104044784379 , 0.00673722511417 , 0.000690085749242 , 4.65224035872e-05 , 1.99113594435e+11 , 0.0425456556246 , 3.45435981883e-06 , 0.00619005776827 , 0.00145427778963 , 0.283212488218 , 0.113298150094 , 0.000453047077252 , 0.472047628765 , 0.00120296047429 , 8.59509369441e-08 , 7.05577137506e-07 , 0.0011742032113 , 3.19785598671e-05 , 0.000256306080681 , 8.61255106597e-06 , 2.55363176705e-05 , 1.44564965952e-05 , 0.391814165222 , 1.16461134041 , 0.000788056372772 , 0.998709967093 
Benchstone.BenchI.LogicArray.Test , 0.00515708158238 , 0.00649171850627 , 0.000347741113213 , 7.34795665912e-05 , 0.211635527815 , 0.00165368305908 , 1.76960173073e-07 , 0.394536345153 , 0.469756250053 , 0.000104016915908 , 6.40154113295e-05 , 0.00486163395532 , 0.000491922987682 , 4.41642817316e-05 , 1.89172509377e+11 , 0.0331900669906 , 3.51064222908e-06 , 0.00633010013952 , 0.001507279292 , 0.318056624391 , 0.0850195548178 , 0.000283215141441 , 0.395733969442 , 0.00126122368301 , 9.1144321428e-08 , 7.52471912905e-07 , 0.00122848448099 , 3.22677381619e-05 , 0.00025230251561 , 5.6413852283e-06 , 1.97028892426e-05 , 1.07478090062e-05 , 0.329171244956 , 1.07928927434 , 0.000506283139741 , 0.916290087999 
ByteMark.BenchAssignRectangular , 0.00447732268107 , 0.00351157056014 , 7.97302162044e-05 , 1.38680824767e-05 , 0.222003679344 , 0.0021114514187 , 9.94279946141e-08 , 0.279909323111 , 0.365101524922 , 3.39366658121e-05 , 1.2057879501e-05 , 0.00134549062881 , 0.00013287724554 , 2.13034989487e-05 , 3.40356859568e+11 , 0.0127402359615 , 1.87426514867e-06 , 0.00342463647267 , 0.000829407165051 , 0.321117194528 , 0.0264101720306 , 5.86141499405e-05 , 0.280630225259 , 0.000694099432284 , 5.009448031e-08 , 4.12135075456e-07 , 0.000674446544992 , 1.77554141488e-05 , 0.000137288286357 , 1.43978294024e-06 , 7.21375794546e-06 , 3.68997704819e-06 , 0.289376432618 , 1.06312012656 , 9.90165323619e-05 , 0.910465531778 
PerfLabTests.LowLevelPerf.ClassVirtualMethod , 0.00725967275695 , 0.0064320356601 , 0.000553341872519 , 0.000116317722461 , 0.22253422686 , 0.0017761659337 , 1.7270463043e-07 , 0.473609147945 , 0.591767860907 , 0.000163121549681 , 0.000105721044926 , 0.00687635392944 , 0.000660182482274 , 4.61796083433e-05 , 1.97163213952e+11 , 0.0430677281821 , 3.57370417065e-06 , 0.00625840886475 , 0.00147208129844 , 0.316215841497 , 0.12343891118 , 0.000456137365573 , 0.474908150401 , 0.00122602300984 , 8.73185197934e-08 , 7.17172322188e-07 , 0.00119611989109 , 3.17210998677e-05 , 0.000255425350351 , 8.73700507043e-06 , 2.5841362077e-05 , 1.45950248138e-05 , 0.393394637348 , 1.16722230972 , 0.000799552938097 , 0.983009532383 
Span.IndexerBench.Indexer4 , 0.00669632049604 , 0.00500023470777 , 0.000529833095925 , 0.000110587035254 , 0.19799377226 , 0.00150737811201 , 1.36158913037e-07 , 0.427230995536 , 0.538518963922 , 0.000156955494132 , 0.000100569915581 , 0.00624963140947 , 0.000592654628375 , 3.73200510898e-05 , 2.59175100718e+11 , 0.0381700298933 , 2.83183839021e-06 , 0.0048793874315 , 0.00113594878206 , 0.234297957924 , 0.0805945480107 , 0.000442104610677 , 0.428362262418 , 0.000943622914865 , 6.70897781146e-08 , 5.47602758162e-07 , 0.000916206477174 , 2.40447326257e-05 , 0.000198797711884 , 8.21404137242e-06 , 2.3206820344e-05 , 1.35031142664e-05 , 0.365341413298 , 1.0312597251 , 0.000777367079021 , 0.945873895706 
Span.IndexerBench.Indexer5 , 0.00645180925325 , 0.00482368441624 , 0.000511677802449 , 0.000106439916112 , 0.191474999401 , 0.00144679197232 , 1.30990255286e-07 , 0.411367495352 , 0.520345448309 , 0.000152579717929 , 9.77963243697e-05 , 0.0059850159492 , 0.000586067457397 , 3.67174779216e-05 , 2.68539059819e+11 , 0.0368783163525 , 2.79076719977e-06 , 0.00471895832157 , 0.00109631801496 , 0.229200040219 , 0.114234273002 , 0.000430553198026 , 0.412507005225 , 0.000911814013816 , 6.32682635124e-08 , 5.2543939081e-07 , 0.000885166035661 , 2.36805290235e-05 , 0.000192646138833 , 7.94685883476e-06 , 2.2518545362e-05 , 1.31089868356e-05 , 0.355333067533 , 1.08021153139 , 0.00075296273524 , 0.96189350235 
Span.IndexerBench.Indexer2 , 0.00661331283969 , 0.00492109078255 , 0.000517540995513 , 0.000108513478776 , 0.197129528694 , 0.00148877598815 , 1.33930761264e-07 , 0.420487257625 , 0.534508948395 , 0.000153383499479 , 9.85067416679e-05 , 0.00619440556708 , 0.000602303591923 , 3.85541596447e-05 , 2.62463975178e+11 , 0.0375761208917 , 2.81435575872e-06 , 0.00478786899858 , 0.00112116675365 , 0.233482607849 , 0.0795151586455 , 0.000436690196901 , 0.421626913541 , 0.000930951677594 , 6.57728360179e-08 , 5.40794217202e-07 , 0.00090479460215 , 2.44256949764e-05 , 0.000197560990855 , 8.11667581639e-06 , 2.2878484546e-05 , 1.33086607319e-05 , 0.361392634565 , 1.01465273007 , 0.000762350535399 , 0.930432854133 
Span.IndexerBench.Indexer3 , 0.00673725067171 , 0.00497997888415 , 0.000527495591604 , 0.000109702132672 , 0.197836325196 , 0.00150827396422 , 1.33720294185e-07 , 0.423697417958 , 0.535619339818 , 0.000156302391353 , 0.000100056407901 , 0.00634042288085 , 0.000605549533176 , 3.95078810765e-05 , 2.59130449952e+11 , 0.0380625023953 , 2.85917382591e-06 , 0.0048825142365 , 0.00113793852114 , 0.234202171058 , 0.0808076040962 , 0.000442537872416 , 0.424831928256 , 0.00094965724424 , 6.58278484955e-08 , 5.47565907543e-07 , 0.000916833178208 , 2.414895664e-05 , 0.000196088167212 , 8.22285841125e-06 , 2.32106531715e-05 , 1.34597998832e-05 , 0.366540165363 , 1.04253799312 , 0.000775551456949 , 0.958774514551 
